"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 11:40:24 GMT 2024","Tue Apr 30 11:40:36 GMT 2024","11335","","UI ProfileSettings Tests","","ProfileTest","UploadAvatarTest","Изменение аватара профиля",""
"passed","Tue Apr 30 11:40:24 GMT 2024","Tue Apr 30 11:40:32 GMT 2024","7334","","UI Login Tests","","LoginTest","CorrectLoginTest","Логин с передачей корректных параметров",""
"failed","Tue Apr 30 11:40:35 GMT 2024","Tue Apr 30 11:40:48 GMT 2024","13096","","UI Login Tests","","LoginTest","UnCorrectLoginTestBug","Тест воспроизводищий дефект","При неккоректном логине ждем, что открыта страница дашборда"
"passed","Tue Apr 30 11:40:26 GMT 2024","Tue Apr 30 11:40:26 GMT 2024","54","","API Project Tests","","ApiTests","BadProjectCode","Создание проекта проверка поля CODE","Проверка, что поле CODE не может быть больше 10 символов"
"passed","Tue Apr 30 11:40:32 GMT 2024","Tue Apr 30 11:40:36 GMT 2024","3944","","UI Login Tests","","LoginTest","UnCorrectLoginTest","Логин с передачей некорректных параметров","Тест использование некорректных данных"
"passed","Tue Apr 30 11:40:25 GMT 2024","Tue Apr 30 11:40:25 GMT 2024","518","","API Project Tests","","ApiTests","CreateProject","Добавление проекта","Тест на создание проекта"
"passed","Tue Apr 30 11:40:24 GMT 2024","Tue Apr 30 11:40:35 GMT 2024","10703","","UI Project Tests","","ProjectTest","AddProjectTest","Добавление проекта",""
"failed","Tue Apr 30 11:40:26 GMT 2024","Tue Apr 30 11:40:26 GMT 2024","108","","API Project Tests","","ApiTests","GetProjectFromJSON","Создание проекта из JSON","Создание проекта из JSON файла"
"passed","Tue Apr 30 11:40:26 GMT 2024","Tue Apr 30 11:40:26 GMT 2024","71","","API Project Tests","","ApiTests","GetMissingProjectTest","Получение проекта с несуществующим CODE","Получение данных проекта по коду несуществующего проекта"
"passed","Tue Apr 30 11:40:26 GMT 2024","Tue Apr 30 11:40:33 GMT 2024","6882","","UI Project Tests","","ProjectTest","NegativeKeyInputCheck","Негативная проверка граничного значения поля key проекта",""
"passed","Tue Apr 30 11:40:33 GMT 2024","Tue Apr 30 11:40:41 GMT 2024","8575","","UI Project Tests","","ProjectTest","RemoveProjectTest","Удаление проекта",""
"passed","Tue Apr 30 11:40:26 GMT 2024","Tue Apr 30 11:40:26 GMT 2024","67","","API Project Tests","","ApiTests","RequiredFieldTest","Создание проекта проверка поля TITLE","Проверка, что поле TITLE должно быть обязательно заполнено"
"passed","Tue Apr 30 11:40:26 GMT 2024","Tue Apr 30 11:40:26 GMT 2024","68","","API Project Tests","","ApiTests","GetAllProjectsTest","Получение всех проектов","Получение всех существующих проектов"
"passed","Tue Apr 30 11:40:25 GMT 2024","Tue Apr 30 11:40:26 GMT 2024","91","","API Project Tests","","ApiTests","GetProjectTest","Получение проекта по коду","Получение данных проекта по коду проекта"
"passed","Tue Apr 30 11:40:26 GMT 2024","Tue Apr 30 11:40:26 GMT 2024","98","","API Project Tests","","ApiTests","DeleteProject","Удаление проекта","Удаление проекта по коду проекта"
